product_title,product_type,net_quantity,total_sales
Oakville Rangers Puff Jacket,ovkjacket,6,1213.62
Oakville Rangers Classic Toque,ovktoque,26,881.12
Oakville Rangers Streetwear Hoodie,ovkhood,10,835.57
Rangers Tracksuit Top,ovktrack,5,480.2
Oakville Rangers Training Hat,ovktrain,5,194.93
Guelph Storm Classic Hoodie,ohlhood,2,141.23
Oakville Rangers Training Short,ovktrain,3,132.42
Oakville Rangers Training Shirt,ovktrain,3,115.85
Windsor Spitfires Face Off Hoodie,ohlhood,2,108.47
Saginaw Spirit Locker Room Hoodie,ohlhood,2,108.47
Tropical Punch Bucket Hat,Bucket Hat,3,99.27
Oakville Rangers Classic Hoodie,ovkhood,1,79.09
Tropical Punch Bathing Suit,bdswim,2,79.08
Pineapple Bucket Hat,Bucket Hat,2,74.56
Oakville Rangers Classic Crewneck,ovkcrew,1,73.44
Kitchener Rangers Face Off Hoodie,ohlhood,1,67.79
Oshawa Generals Locker Room Hoodie,ohlhood,1,67.79
Black Hoodie Youth,bdkid,1,67.79
Saginaw Spirit Classic Hoodie- Grey,bdhood,1,67.79
Barrie Colts Classic Hoodie,ohlhood,1,67.79
Ottawa 67's Classic Hoodie,ohlhood,1,67.79
Blue Hoodie Youth,bdhood,1,67.79
Rangers Tracksuit Bottom,ovktrack,1,66.67
Blue Liner Tie Dye Hoodie,bdhood,1,62.99
London Knights Triple Deke Hoodie,ohlhood,1,61.82
Neutral Zone Hoodie,bdhood,1,59.99
Neutral Zone Youth Hoodie,bdkid,1,59.99
Mississauga Steelheads Face Off T-Shirt,ohltee,2,59.98
Barrie Colts Triple Deke Hoodie,ohlhood,1,54.24
Soo Greyhounds Face Off Hoodie,ohlhood,1,54.24
Peterborough Petes Breakaway Hoodie,ohlhood,1,54.24
Mississauga Steelheads Classic Hoodie,ohlhood,1,54.24
Barrie Colts Face Off Hoodie,ohlhood,1,54.23
North Bay Battalion Face Off Hoodie,ohlhood,1,54.23
Barrie Colts Locker Room Hoodie,ohlhood,1,54.23
Niagara IceDogs Classic Hoodie,ohlhood,1,48
Sarnia Sting Custom Player T-Shirt,ohltee,1,45.19
Kitchener Rangers Custom Player T-Shirt,ohltee,1,45.19
Sudbury Wolves Face Off T-Shirt,ohltee,1,39.54
North Bay Battalion Custom Player T-Shirt,ohltee,1,38.87
The Goalie Bucket Hat,Bucket Hat,1,37.28
Hamilton Bulldogs Breakaway T-Shirt,ohltee,1,36.74
London Knights Custom Player T-Shirt,ohltee,1,36.16
Barrie Colts Custom Player T-Shirt,ohltee,1,36.15
Retro Vibes Hat,Hat,1,33.89
Kitchener Rangers Face Off T-Shirt,ohltee,1,33.89
Oakville Rangers Plaid Scarf,ovkscrf,1,33.89
Oakville Rangers Classic Scarf,ovkscrf,1,33.89
Oakville Rangers Plaid Toque,ovktoque,1,33.89
North Bay Battalion Triple Deke T-Shirt,ohltee,1,31.63
Tucan Sam Bucket Hat,Bucket Hat,1,31.49
Made in Canada Tank,bdtank,1,31.49
Waves Tank,bdtee,1,31.49
Muckin' Melon Bucket Hat,Bucket Hat,1,29.83
Barrie Colts Locker Room T-Shirt,ohltee,1,27.12
Ottawa 67's Triple Deke T-Shirt,ohltee,1,27.12
North Bay Battalion Classic T-Shirt,ohltee,1,27.11
Oakville Rangers Soaker,ovksock,1,24.86
Oakville Rangers Play Sock,ovksock,1,15.77
BD Black socks 3 pack,bdsock,1,14.68
I am Your Father T-Shirt,ohltee,0,0
Wood Chipper Hat,bdhat,1,0
You are My Father Onesie,ohlkid,-1,-28.24
Player 2 Onesie,ohkid,-1,-28.24
BD Jagr Bomb Hat,bdhat,-1,-33.89
Oakville Rangers Plaid Mittens,ovkmitten,-1,-33.89
Player 1  T-Shirt,ohltee,-1,-39.54
Oakville Rangers Classic Sweatpants,ovkpant,-1,-73.44
,,114,6430.86
